,Rank,Player,Style,Team,Rating,CareerBestRating,Opposition,Year
0,1,Keshav Maharaj,RA,South Africa,716,741,Australia,2023
1,2,Josh Hazlewood,RA,Australia,688,727,England,2022
2,3,Adam Zampa,RA,Australia,686,695,Bangladesh,2023
3,4,Mohammed Siraj,RA,India,678,736,New Guinea,2023
4,5,Jasprit Bumrah,RA,India,665,838,West Indies,2018
5,6,Mohammad Nabi,RA,Afghanistan,656,657,Zimbabwe,2022
6,7,Shaheen Afridi,LA,Pakistan,650,688,West Indies,2022
7,8,Kuldeep Yadav,RA,India,645,760,New Guinea,2019
8,9,Trent Boult,RA,New Zealand,643,775,Australia,2022
9,10,Bernard Scholtz,RA,Namibia,642,642,Netherlands,2024
10,11,Rashid Khan,RA,Afghanistan,634,799,Pakistan,2018
11,12,Mohammed Shami,RA,India,629,657,New Guinea,2023
12,13,Maheesh Theekshana,RA,Sri Lanka,622,648,Afghanistan,2024
13,14,Mitchell Starc,LA,Australia,604,781,New Guinea,2015
14,15,Kagiso Rabada,RA,South Africa,599,718,England,2017
15,16,Mark Watt,RA,Scotland,597,622,West Indies,2023
16,17,Chris Woakes,RA,England,596,711,SriLanka,2021
17,18,Matt Henry,RA,New Zealand,593,691,Bangladesh,2021
18,19,Mujeeb Ur,RA,Afghanistan,591,713,Ireland,2021
19,20,Saurabh Netravalkar,RA,USA,586,597,Nepal,2023
20,21,Mitchell Santner,RA,New Zealand,582,648,England,2018
21,22,Ravindra Jadeja,LA,India,572,732,Zimbabwe,2013
22,23,Haris Rauf,RA,Pakistan,563,593,SriLanka,2023
23,24,Shoriful Islam,RA,Bangladesh,555,561,SriLanka,2024
24,25,Andy McBrine,RA,Ireland,553,646,West Indies,2022
25,26,Wanindu Hasaranga,RA,Sri Lanka,553,582,Oman,2023
26,27,Mark Adair,RA,Ireland,550,566,Zimbabwe,2023
27,28,Richard Ngarava,RA,Zimbabwe,548,553,SriLanka,2024
28,29,Pat Cummins,RA,Australia,545,725,SriLanka,2019
29,30,Dilshan Madushanka,RA,Sri Lanka,545,551,Bangladesh,2024
30,31,Shakib Al,LA,Bangladesh,544,715,Zimbabwe,2009
31,32,Adil Rashid,RA,England,541,674,India,2018
32,33,Mehidy Hasan,RA,Bangladesh,541,725,SriLanka,2021
33,34,Marco Jansen,RA,South Africa,537,586,New Guinea,2023
34,35,Lungi Ngidi,RA,South Africa,535,622,Australia,2020
35,36,Sean Abbott,RA,Australia,530,530,West Indies,2024
36,37,Akeal Hosein,RA,West Indies,530,597,South Africa,2023
37,38,Aryan Dutt,RA,Netherlands,523,523,Nepal,2024
38,39,Joshua Little,RA,Ireland,517,533,Zimbabwe,2023
39,40,Reece Topley,LA,England,515,558,South Africa,2023
40,41,Aayan Khan,RA,United Arab Emirates,512,517,SriLanka,2023
41,42,Taskin Ahmed,RA,Bangladesh,508,528,West Indies,2022
42,43,Fazalhaq Farooqi,RA,Afghanistan,508,544,Pakistan,2023
43,44,Mustafizur Rahman,LA,Bangladesh,505,693,West Indies,2018
44,45,Mohammad Wasim,RA,Pakistan,505,505,England,2023
45,46,Alzarri Joseph,RA,West Indies,503,625,South Africa,2023
46,47,Sandeep Lamichhane,RA,Nepal,502,595,Papua,2023
47,48,Ruben Trumpelmann,RA,Namibia,501,522,Nepal,2024
48,49,Tabraiz Shamsi,RA,South Africa,500,597,Bangladesh,2022
49,50,Bilal Khan,RA,Oman,499,546,USA,2022
50,51,Jofra Archer,RA,England,497,642,Australia,2020
51,52,Christophe Sole,RA,Scotland,494,511,Zimbabwe,2023
52,53,Sikandar Raza,RA,Zimbabwe,492,492,SriLanka,2024
53,54,Gudakesh Motie,RA,West Indies,486,516,Australia,2024
54,55,Lalit Rajbanshi,RA,Nepal,485,487,Netherlands,2024
55,56,Lockie Ferguson,RA,New Zealand,484,667,West Indies,2019
56,57,Zeeshan Maqsood,RA,Oman,483,510,United,2023
57,58,Logan van,RA,Netherlands,481,533,Afghanistan,2023
