,Rank,Player,Style,Team,Rating,CareerBestRating,Opposition,Year
0,1,Suryakumar Yadav,RH,India,861,910,New Zealand,2023
1,2,Phil Salt,RH,England,802,802,West Indies,2023
2,3,Mohammad Rizwan,RH,Pakistan,784,875,England,2022
3,4,Babar Azam,RH,Pakistan,763,896,England,2019
4,5,Aiden Markram,RH,South Africa,755,796,England,2021
5,6,Yashasvi Jaiswal,LH,India,714,739,Afghanistan,2024
6,7,Rilee Rossouw,LH,South Africa,689,724,West Indies,2023
7,8,Jos Buttler,RH,England,680,687,West Indies,2023
8,9,Reeza Hendricks,RH,South Africa,660,674,India,2023
9,10,Dawid Malan,RH,England,657,915,South Africa,2020
10,11,Ruturaj Gaikwad,LH,India,654,700,Australia,2023
11,12,Finn Allen,RH,New Zealand,652,723,Pakistan,2024
12,13,Brandon King,RH,West Indies,643,688,England,2023
13,14,Mitchell Marsh,RH,Australia,641,652,South Africa,2023
14,15,Nicholas Pooran,RH,West Indies,630,667,Bangladesh,2022
15,16,Glenn Phillips,LH,New Zealand,625,703,England,2022
16,17,Travis Head,LH,Australia,622,622,New Zealand,2024
17,18,Tim Seifert,LH,New Zealand,622,685,Pakistan,2020
18,19,Quinton de,RH,South Africa,610,671,SriLanka,2021
19,20,Kusal Mendis,RH,Sri Lanka,607,607,Bangladesh,2024
20,21,Tim David,RH,Australia,601,601,New Zealand,2024
21,22,Muhammad Waseem,RH,United Arab Emirates,599,716,Afghanistan,2023
22,23,Rahmanullah Gurbaz,RH,Afghanistan,593,625,SriLanka,2024
23,24,Pathum Nissanka,RH,Sri Lanka,589,698,Pakistan,2022
24,25,Glenn Maxwell,RH,Australia,574,838,SriLanka,2019
25,26,Rovman Powell,RH,West Indies,572,572,Australia,2024
26,27,Ibrahim Zadran,LH,Afghanistan,570,592,SriLanka,2024
27,28,George Munsey,RH,Scotland,569,599,Netherlands,2019
28,29,Litton Das,RH,Bangladesh,562,590,Ireland,2023
29,30,Devon Conway,RH,New Zealand,559,831,Australia,2022
30,31,Michael Levitt,RH,Netherlands,558,558,Nepal,2024
31,32,Najmul Hossain,RH,Bangladesh,553,593,England,2023
32,33,Rinku Singh,RH,India,548,548,Afghanistan,2024
33,34,Charith Asalanka,LH,Sri Lanka,546,594,Australia,2022
34,35,Mark Chapman,LH,New Zealand,542,561,England,2023
35,36,Richie Berrington,RH,Scotland,538,587,Oman,2021
36,37,David Miller,LH,South Africa,533,588,SriLanka,2019
37,38,Johnson Charles,RH,West Indies,532,604,South Africa,2023
38,39,Harry Brook,RH,England,531,561,New Zealand,2023
39,40,David Warner,LH,Australia,529,826,West Indies,2010
40,41,Liam Livingstone,RH,England,526,546,Pakistan,2021
41,42,Josh Inglis,RH,Australia,524,595,India,2023
42,43,Paul Stirling,RH,Ireland,519,599,United,2021
43,44,Kyle Mayers,RH,West Indies,516,553,England,2023
44,45,Jonny Bairstow,LH,England,514,624,South Africa,2020
45,46,Daryl Mitchell,RH,New Zealand,512,582,SriLanka,2023
46,47,Virat Kohli,RH,India,511,897,England,2014
47,48,Netherlands502549 v,RH,Netherlands,502,549,Kenya,2019
48,49,Mohammad Nabi,RH,Afghanistan,499,569,Bangladesh,2019
49,50,Dipendra Singh,RH,Nepal,498,498,HongKong,2024
50,51,Rohit Sharma,RH,India,492,719,West Indies,2018
51,52,Marcus Stoinis,RH,Australia,490,531,India,2023
52,53,Dasun Shanaka,RH,Sri Lanka,486,517,India,2023
