,Rank,Player,Style,Team,Rating,CareerBestRating,Opposition,Year
0,1,Adil Rashid,RA,England,726,746,West Indies,2022
1,2,Wanindu Hasaranga,RA,Sri Lanka,687,797,West Indies,2021
2,3,Akeal Hosein,RA,West Indies,664,683,England,2023
3,4,Axar Patel,LA,India,660,667,Afghanistan,2024
4,5,Maheesh Theekshana,RA,Sri Lanka,659,684,NewGuinea,2023
5,6,Ravi Bishnoi,RA,India,659,699,Australia,2023
6,7,Josh Hazlewood,RA,Australia,654,806,SriLanka,2022
7,8,Tabraiz Shamsi,RA,South Africa,654,821,West Indies,2021
8,9,Rashid Khan,RA,Afghanistan,645,816,Bangladesh,2018
9,10,Reece Topley,LA,England,643,662,Australia,2022
10,11,Anrich Nortje,RA,South Africa,634,695,India,2022
11,12,Adam Zampa,RA,Australia,631,743,SriLanka,2022
12,13,Sam Curran,LA,England,630,688,Pakistan,2022
13,14,Shaheen Afridi,RA,Pakistan,627,634,Australia,2022
14,15,Fazalhaq Farooqi,RA,Afghanistan,627,692,Pakistan,2023
15,16,Alzarri Joseph,RA,West Indies,620,646,England,2023
16,17,Mitchell Santner,LA,New Zealand,613,724,Pakistan,2018
17,18,Keshav Maharaj,RA,South Africa,610,662,India,2022
18,19,Arshdeep Singh,RA,India,607,635,West Indies,2023
19,20,Ish Sodhi,LA,New Zealand,601,732,Pakistan,2018
20,21,Mujeeb Ur,RA,Afghanistan,595,745,Ireland,2020
21,22,Tim Southee,RA,New Zealand,589,669,Bangladesh,2021
22,23,Haris Rauf,RA,Pakistan,585,657,NewGuinea,2023
23,24,Mustafizur Rahman,LA,Bangladesh,578,695,SriLanka,2017
24,25,Kuldeep Yadav,RA,India,578,730,NewGuinea,2019
25,26,Shadab Khan,LA,Pakistan,570,768,Scotland,2018
26,27,Jason Holder,RA,West Indies,569,588,England,2023
27,28,Mahedi Hasan,RA,Bangladesh,567,632,West Indies,2022
28,29,Nathan Ellis,RA,Australia,567,567,NewGuinea,2024
29,30,Shakib Al,LA,Bangladesh,563,673,Pakistan,2014
30,31,Wayne Parnell,RA,South Africa,549,577,West Indies,2023
31,32,Taskin Ahmed,LA,Bangladesh,546,558,Afghanistan,2023
32,33,Lockie Ferguson,RA,New Zealand,545,579,Australia,2024
33,34,Romario Shepherd,RA,West Indies,531,531,Australia,2024
34,35,Mark Watt,RA,Scotland,530,603,NewGuinea,2021
35,36,Chris Woakes,RA,England,518,580,Pakistan,2022
36,37,Mohammad Wasim,RA,Pakistan,512,609,South Africa,2022
37,38,Joshua Little,RA,Ireland,511,528,NewGuinea,2022
38,39,Kagiso Rabada,RA,South Africa,506,596,West Indies,2016
39,40,Shoriful Islam,RA,Bangladesh,505,513,West Indies,2022
40,41,Nasum Ahmed,RA,Bangladesh,502,637,Afghanistan,2022
41,42,Mark Wood,RA,England,500,610,SriLanka,2021
42,43,Richard Ngarava,RA,Zimbabwe,492,526,Namibia,2023
43,44,Pat Cummins,RA,Australia,481,619,England,2015
44,45,Aayan Khan,RA,United Arab Emirates,479,527,Scotland,2024
45,46,Lungi Ngidi,RA,South Africa,478,568,Pakistan,2022
46,47,Hasan Mahmud,RA,Bangladesh,478,529,Ireland,2023
47,48,Mitchell Starc,LA,Australia,476,702,Pakistan,2014
48,49,Chris Jordan,RA,England,475,659,NewGuinea,2019
49,50,Yuzvendra Chahal,RA,India,475,706,Bangladesh,2018
50,51,Afghanistan471535 v,RA,Afghanistan,471,535,United,2023
51,52,Mark Adair,RA,Ireland,467,569,Namibia,2019
52,53,Fred Klaassen,RA,Netherlands,465,473,South Africa,2022
53,54,Naseem Shah,RA,Pakistan,460,578,Afghanistan,2023
54,55,Michael Bracewell,RA,New Zealand,456,548,India,2023
55,56,Obed McCoy,RA,West Indies,454,567,India,2022
56,57,Matt Henry,RA,New Zealand,452,490,Pakistan,2024
57,58,Mohammad Nawaz,RA,Pakistan,452,560,England,2022
58,59,Jason Behrendorff,RA,Australia,451,465,West Indies,2024
59,60,Ben Sears,RA,New Zealand,449,449,Pakistan,2024
60,61,Hardik Pandya,RA,India,446,544,West Indies,2023
61,62,Lahiru Kumara,LA,Sri Lanka,442,501,England,2022
62,63,Azmatullah Omarzai,RA,Afghanistan,439,439,Ireland,2024
63,64,Mohammad Nabi,RA,Afghanistan,438,640,West Indies,2016
64,65,Adam Milne,RA,New Zealand,436,663,Pakistan,2016
65,66,Safyaan Sharif,RA,Scotland,430,483,Zimbabwe,2021
66,67,Trent Boult,RA,New Zealand,430,653,SriLanka,2022
67,68,Sikandar Raza,RA,Zimbabwe,426,430,SriLanka,2024
68,69,Marcus Stoinis,RA,Australia,418,435,West Indies,2024
69,70,Zahoor Khan,RA,United Arab Emirates,415,501,NewGuinea,2023
70,71,Barry McCarthy,RA,Ireland,413,414,Afghanistan,2024
71,72,Dushmantha Chameera,RA,Sri Lanka,412,555,India,2021
72,73,Chamika Karunaratne,RA,Sri Lanka,412,500,Australia,2022
73,74,Tendai Chatara,RA,Zimbabwe,410,481,Ireland,2023
74,75,Blessing Muzarabani,RA,Zimbabwe,410,522,Bangladesh,2021
75,76,Bernard Scholtz,RA,Namibia,408,521,Zimbabwe,2023
76,77,Imad Wasim,RA,Pakistan,406,780,West Indies,2017
77,78,Washington Sundar,RA,India,403,631,England,2021
78,79,Ehsan Khan,RA,China,402,464,Oman,2019
79,80,Mohammed Siraj,RA,India,402,414,South Africa,2023
80,81,Mukesh Kumar,RA,India,398,398,Afghanistan,2024
81,82,Sean Abbott,RA,Australia,395,419,India,2023
82,83,Tanveer Sangha,RA,Australia,395,420,India,2023
83,84,Qais Ahmad,RA,Afghanistan,392,404,SriLanka,2024
84,85,Wellington Masakadza,RA,Zimbabwe,391,469,Ireland,2021
85,86,Roelof van,RA,Netherlands,390,512,Papua,2019
86,87,Zunaed Siddique,RA,United Arab Emirates,389,437,Scotland,2024
87,88,Sheldon Cottrell,RA,West Indies,386,648,NewGuinea,2020
88,89,Ben White,RA,Ireland,385,385,Afghanistan,2024
89,90,Zaman Khan,RA,Pakistan,379,396,NewGuinea,2024
90,91,Binura Fernando,RA,Sri Lanka,378,378,Bangladesh,2024
91,92,Gareth Delany,RA,Ireland,377,413,Afghanistan,2020
92,93,Sompal Kami,RA,Nepal,376,384,United,2019
93,94,Muhammad Jawadullah,RA,United Arab Emirates,375,411,Afghanistan,2024
94,95,Odean Smith,RA,West Indies,374,460,Zimbabwe,2022
95,96,Ali Naseer,RA,United Arab Emirates,370,441,Afghanistan,2024
96,97,Karim Janat,RA,Afghanistan,368,530,Ireland,2020
97,98,Craig Young,RA,Ireland,366,409,NewGuinea,2022
98,99,Gerhard Erasmus,RA,Namibia,365,430,Zimbabwe,2023
99,100,Jasprit Bumrah,RA,India,364,764,England,2017
